time, positions, velocities, controls 
1.4,1.42047,-1.70857,-0.719439,0.659998,0.131073,-9.77478e-16,0.47613,5,5,3.06217e-05,-1.79431e-17,-1.4746e-14,-7.50633,8.77582,1.66689,0,
1.45,1.39102,-1.45857,-0.469439,0.659999,0.131073,-9.77478e-16,-0.589005,5,5,1.53109e-05,-1.79431e-17,1.41949e-14,-15.8771,-11.2355,-1.42866,7.08067e-22,
1.5,1.57912,-1.70853,-0.221475,0.66,0.131073,-9.77475e-16,3.762,-4.99926,4.95927,7.65543e-06,-1.79431e-17,1.41949e-14,-1.02186,-24.2549,-1.70728,-2.11522e-13,
1.55,1.72016,-1.88924,-0.470803,0.66,0.131073,-9.77475e-16,2.82073,-3.61404,-4.98654,3.82772e-06,-1.79431e-17,1.41949e-14,-16.7398,-11.5672,-3.76968,-3.60569e-14,
1.6,1.47016,-1.68533,-0.720803,0.66,0.131073,-9.77475e-16,-5,4.07815,-5,1.91386e-06,-1.59952e-17,1.41949e-14,-51.8548,-10.2937,-3.33634,2.1684e-19,
1.65,1.51701,-1.84734,-0.664214,0.66,0.131073,-9.77475e-16,0.937085,-3.24025,1.13177,9.56929e-07,-6.64561e-18,7.57306e-29,23.401,-9.88559,1.09647,7.01118e-21,
1.7,1.33311,-1.93517,-0.647686,0.66,0.131073,-9.77475e-16,-3.67807,-1.75663,0.330563,4.78465e-07,-1.96966e-18,7.57306e-29,-34.4328,-14.0249,-3.78286,0,
1.75,1.10158,-1.68517,-0.397686,0.66,0.131073,-9.77475e-16,-4.63069,5,5,2.39232e-07,-2.76207e-15,7.57306e-29,2.8351,10.7223,2.88179,0,
1.8,0.91774,-1.43557,-0.647686,0.66,0.131073,-9.77475e-16,-3.67675,4.99206,-5,1.19616e-07,-2.76207e-15,1.00974e-28,-14.966,-10.4197,-3.13097,0,
1.85,0.7511,-1.18585,-0.814718,0.66,0.131073,-9.77475e-16,-3.33279,4.99437,-3.34065,5.98081e-08,-2.76207e-15,1.00974e-28,-10.0232,-4.73353,-0.290828,0,
1.9,0.539132,-0.935852,-0.564718,0.66,0.131073,-9.77475e-16,-4.23937,5,5,2.9904e-08,0,0,-20.5777,-8.06645,0.423868,0,
1.95,0.539132,-0.935852,-0.564718,0.66,0.131073,-9.77475e-16,0,0,0,0,0,0,5.80197,-2.45788,-0.767271,0,
